name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
dw1403p5356,NGC5457,ELVES (Carlsten+22),18.92,0.5503267973856224,True,6.5,6.02
NGC5474,NGC5457,ELVES (Carlsten+22),11.18,0.4900000000000002,False,6.5,
NGC5477,NGC5457,ELVES (Carlsten+22),13.86,0.28999999999999915,False,6.5,
dw1406p5344,NGC5457,ELVES (Carlsten+22),19.36,0.5307189542483668,True,6.5,6.17
dw1408p5419,NGC5457,ELVES (Carlsten+22),19.37,0.30849673202614464,True,6.5,7.49
dw1905m6316,NGC6744,ELVES (Carlsten+22),18.32,0.5045751633986941,True,8.95,7.61
dw1906m6357,NGC6744,ELVES (Carlsten+22),16.43,0.5111111111111111,True,8.95,7.31
dw1907m6342,NGC6744,ELVES (Carlsten+22),17.88,0.4261437908496715,True,8.95,7.99
dw1908m6343,NGC6744,ELVES (Carlsten+22),14.55,0.2431372549019607,True,8.95,5.33
dw1911m6413,NGC6744,ELVES (Carlsten+22),14.41,0.32810457516339914,True,8.95,
dw1245p6158,NGC 4605,ELVES-Dwarf (Li+25),18.08,0.61,False,5.55,4.72
dw1246p5136,NGC 4707,ELVES-Dwarf (Li+25),13.49,0.26,False,6.52,7.04
dw1250p5056,NGC 4707,ELVES-Dwarf (Li+25),18.88,0.18,False,6.52,7.81
dw1008p7038b,UGC05423,ELVES-Dwarf (Li+25),17.78,0.33,False,8.87,10.63
dw1009p7032,UGC05423,ELVES-Dwarf (Li+25),17.93,0.32,False,8.87,9.13
dw0741p4005,DDO046,ELVES-Dwarf (Li+25),18.46,0.17,False,10.38,10.28
