dw1323-40      CENA    201.2421 -40.7622  20.04 0.49 >20.04      AIS_471_1_95
CENA-MM-DW6    CENA    201.4875 -41.0942 >19.91      >19.68      AIS_472_1_35
CENA-MM-DW7    CENA    201.6167 -43.5567 >19.63      >19.06      AIS_472_1_58
ESO324-024     CENA    201.9042 -41.4806  14.13 0.05  14.41 0.05 AIS_472_1_35
KK203          CENA    201.8667 -45.3525 >19.40      >18.93      AIS_472_1_69
CENA-MM-DW1    CENA    202.5583 -41.8933 >18.32      >17.98      AIS_472_1_46
CENA-MM-DW3    CENA    202.5875 -42.1925 >16.13       15.84 0.59 AIS_472_1_46
CENA-MM-DW9    CENA    203.2542 -42.5300 >19.80      >19.44      AIS_472_1_56
CENA-MM-DW8    CENA    203.3917 -41.6078 >19.51      >19.25      AIS_472_1_45
NGC5237        CENA    204.4127 -42.8469  14.88 0.05  15.51 0.09 AIS_472_1_66
dw1328p4703    NGC5194 202.1030  47.0651 >23.78      >24.41      GI3_050006_NGC5194
dw1330p4731    NGC5194 202.6411  47.5257 >23.51      >24.02      GI3_050006_NGC5194
dw1335-29      NGC5236 203.9417 -29.7067 >21.58      >21.47      NGA_M83_582_F5_19_158
dw1340-30      NGC5236 205.0792 -30.3597  20.61 0.61 >20.43      AIS_351_1_67
KK200          NGC5236 201.1500 -30.9717  17.75 0.07  18.36 0.12 AIS_491_1_97
IC4247         NGC5236 201.6875 -30.3625  15.77 0.05  16.17 0.05 GI4_095028_IC4247
ESO444-84      NGC5236 204.3333 -28.0442  15.98 0.05  16.29 0.05 GI1_047094_ESO444_G084
IC4316         NGC5236 205.0750 -28.8947  15.95 0.05  16.20 0.05 AIS_351_1_56
ESO444-78      NGC5236 204.1292 -29.2342  17.25 0.05  17.72 0.07 AIS_351_1_57
NGC5264        NGC5236 205.4042 -29.9131  14.65 0.05  15.12 0.05 GI4_095030_NGC5264
KK218          NGC5236 206.6667 -29.9781  20.15 0.38 >21.33      GI1_032001_NGC5291
HIJ1337-33     NGC5236 204.2542 -33.3631  19.61 0.05  19.67 0.07 GI3_087015_IC4296
dw1350p5441    NGC5457 207.7431  54.6892  20.08 0.30 >20.68      AIS_101_1_34
UGC8882        NGC5457 209.3112  54.1008  18.76 0.05  20.87 0.22 GI5_028139_W3_00783_0105o
dw1403p5337    NGC5457 210.7728  53.6147 >21.93      >22.02      NGA_NGC5474
dw1403p5356    NGC5457 210.9373  53.9437 >23.68      >24.10      GI3_050008_NGC5457
NGC5474        NGC5457 211.2561  53.6617  12.99 0.05  13.23 0.05 NGA_NGC5474
NGC5477        NGC5457 211.3863  54.4608  15.01 0.05  15.07 0.05 GI3_050008_NGC5457
dw1406p5344    NGC5457 211.7080  53.7413 >24.20      >23.95      PS_GROTH_MOS04
dw1905m6316    NGC6744 286.4831 -63.2721  21.81 0.45 >21.90      LGAL_NGC6744n_css28108
dw1906m6357    NGC6744 286.7415 -63.9636  20.43 0.12 >21.80      LGAL_NGC6744n
dw1907m6342    NGC6744 286.8439 -63.7064  21.53 0.11 >22.73      LGAL_NGC6744n
dw1908m6343    NGC6744 287.1830 -63.7301  16.17 0.05  16.41 0.05 LGAL_NGC6744n
dw1911m6413    NGC6744 287.8437 -64.2226  16.70 0.05  17.29 0.05 LGAL_NGC6744n
